¦Áx_c2,¦Áx_c1,¦Áx_c0,¦Áy_c2,¦Áy_c1,¦Áy_c0,¦Áz_c2,¦Áz_c1,¦Áz_c0,¦Âxy_c2,¦Âxy_c1,¦Âxy_c0,¦Âxz_c2,¦Âxz_c1,¦Âxz_c0,Pdep,,f
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,,1
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,,1
0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,,1
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,,1
0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,,1
0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,,1
0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,,1
0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,,1
0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,,1
0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,,1
0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,,1
0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,,1
0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,,1
0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,,1
0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1
0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,,1
0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,,1
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,1
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,1
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,,1
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,,1
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,,1
0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,,1
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,,1
0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,1
0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,,1
0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,1
0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,1
0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,,1
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,,1
0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,,1
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,,1
0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,,1
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,,1
0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,,1
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,,1
0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,1
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,,1
0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,1
0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,1
0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,1
0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,,1
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,1
0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,,1
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,,1
0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,,1
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,,1
0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,,1
0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,,1
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,,1
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,1
0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,,1
0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,,1
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,,1
0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,,1
0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,1
0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,,1
0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,,1
0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,,1
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,1
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,,1
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,,1
0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,,1
0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,,1
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,,1
0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,,1
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,,1
0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,1
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,,1
0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,,1
0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,,1
0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,,1
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,,1
0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,,1
0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,,1
0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,,1
0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,,1
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,,1
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,,1
0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,,1
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,,1
